05-12-2022 11:45:53 WARN  TestResultLoggerExtension:39 - Test Successful for test: [1] Browse Existing Project, MTP
05-12-2022 11:46:03 WARN  TestResultLoggerExtension:39 - Test Successful for test: [2] Browse Toucan Project, TOUCAN
05-12-2022 11:46:12 WARN  TestResultLoggerExtension:39 - Test Successful for test: [3] Browse Coala Project, COALA
05-12-2022 11:46:21 WARN  TestResultLoggerExtension:39 - Test Successful for test: [4] Browse Jeti Project, JETI
05-12-2022 11:46:31 WARN  TestResultLoggerExtension:39 - Test Successful for test: [1] Browse Existing Project Without Permission, MTP-1
05-12-2022 11:46:45 WARN  TestResultLoggerExtension:39 - Test Successful for test: [2] Browse Non-Existing Project, ANIMAL
05-12-2022 11:46:45 WARN  TestResultLoggerExtension:26 - Test result summary for TestBrowseProject {SUCCESSFUL=6}
05-12-2022 11:46:58 WARN  TestResultLoggerExtension:39 - Test Successful for test: Login with Enter key
05-12-2022 11:47:06 WARN  TestResultLoggerExtension:39 - Test Successful for test: Incorrect Password
05-12-2022 11:47:14 WARN  TestResultLoggerExtension:39 - Test Successful for test: Login on different link with correct credentials
05-12-2022 11:47:19 WARN  TestResultLoggerExtension:39 - Test Successful for test: Empty Credentials
05-12-2022 11:47:26 WARN  TestResultLoggerExtension:39 - Test Successful for test: Incorrect Username
05-12-2022 11:47:36 WARN  TestResultLoggerExtension:39 - Test Successful for test: Correct username and password
05-12-2022 11:47:36 WARN  TestResultLoggerExtension:26 - Test result summary for TestLogin {SUCCESSFUL=6}
05-12-2022 11:56:51 WARN  TestResultLoggerExtension:39 - Test Successful for test: [1] MTP-2507
05-12-2022 11:57:05 WARN  TestResultLoggerExtension:39 - Test Successful for test: [1] MTP-2507
05-12-2022 11:57:17 WARN  TestResultLoggerExtension:39 - Test Successful for test: [1] Edit issues 1 for TOUCAN project, TOUCAN-1
05-12-2022 11:57:28 WARN  TestResultLoggerExtension:39 - Test Successful for test: [2] Edit issues 2 for TOUCAN project, TOUCAN-2
05-12-2022 11:57:40 WARN  TestResultLoggerExtension:39 - Test Successful for test: [3] Edit issues 3 for TOUCAN project, TOUCAN-3
05-12-2022 11:58:14 WARN  TestResultLoggerExtension:52 - Test Failed for test: [4] Edit issues 1 for JETI project, JETI-1 due to cause: org.opentest4j.AssertionFailedError
05-12-2022 11:58:48 WARN  TestResultLoggerExtension:52 - Test Failed for test: [5] Edit issues 2 for JETI project, JETI-2 due to cause: org.opentest4j.AssertionFailedError
05-12-2022 11:59:00 WARN  TestResultLoggerExtension:52 - Test Failed for test: [6] Edit issues 3 for JETI project, JETI-3 due to cause: org.opentest4j.AssertionFailedError
05-12-2022 11:59:14 WARN  TestResultLoggerExtension:52 - Test Failed for test: [7] Edit issues 1 for COALA project, COALA-1 due to cause: org.opentest4j.AssertionFailedError
05-12-2022 11:59:29 WARN  TestResultLoggerExtension:52 - Test Failed for test: [8] Edit issues 2 for COALA project, COALA-2 due to cause: org.opentest4j.AssertionFailedError
05-12-2022 12:00:03 WARN  TestResultLoggerExtension:52 - Test Failed for test: [9] Edit issues 3 for COALA project, COALA-3 due to cause: org.opentest4j.AssertionFailedError
05-12-2022 12:00:16 WARN  TestResultLoggerExtension:39 - Test Successful for test: [1] MTP-2507
05-12-2022 12:00:16 WARN  TestResultLoggerExtension:26 - Test result summary for TestEditIssue {FAILED=6, SUCCESSFUL=6}
05-12-2022 12:00:32 WARN  TestResultLoggerExtension:39 - Test Successful for test: [1] Main Testing Project
05-12-2022 12:00:42 WARN  TestResultLoggerExtension:52 - Test Failed for test: [1] Main Testing Project, Story due to cause: org.openqa.selenium.ElementNotInteractableException
05-12-2022 12:01:15 WARN  TestResultLoggerExtension:52 - Test Failed for test: [1] Create subtask for JETI project, JETI, JETI-1 due to cause: org.opentest4j.AssertionFailedError
05-12-2022 12:01:30 WARN  TestResultLoggerExtension:52 - Test Failed for test: [2] Create subtask for TOUCAN project, TOUCAN, TOUCAN-1 due to cause: org.opentest4j.AssertionFailedError
05-12-2022 12:01:45 WARN  TestResultLoggerExtension:52 - Test Failed for test: [3] Create subtask for COALA project, COALA, COALA-1 due to cause: org.opentest4j.AssertionFailedError
05-12-2022 12:02:01 WARN  TestResultLoggerExtension:39 - Test Successful for test: [1] Main Testing Project, Story
05-12-2022 12:02:12 WARN  TestResultLoggerExtension:39 - Test Successful for test: [1] Check bug issue type for JETI, JETI, Bug
05-12-2022 12:02:23 WARN  TestResultLoggerExtension:52 - Test Failed for test: [2] Check task issue type for JETI, JETI, Task due to cause: org.opentest4j.AssertionFailedError
05-12-2022 12:02:34 WARN  TestResultLoggerExtension:39 - Test Successful for test: [3] Check story issue type for JETI, JETI, Story
05-12-2022 12:02:48 WARN  TestResultLoggerExtension:52 - Test Failed for test: [4] Check bug issue type for TOUCAN, TOUCAN, Bug due to cause: org.opentest4j.AssertionFailedError
05-12-2022 12:03:03 WARN  TestResultLoggerExtension:52 - Test Failed for test: [5] Check task issue type for TOUCAN, TOUCAN, Task due to cause: org.opentest4j.AssertionFailedError
